91.565799,91.865780,85.034111,78.624100,72.782352,67.635920,63.290251,59.828809,57.313956,55.788494,0.000000,
91.805421,92.095790,85.451556,79.214046,73.525815,68.511088,64.273632,60.896182,58.441018,56.951181,0.000000,
92.037366,92.318548,85.856446,79.786922,74.248595,69.362865,65.231740,61.937077,59.540903,58.086345,0.000000,
92.261973,92.534361,86.249256,80.343305,74.951305,70.191847,66.165107,62.951943,60.613982,59.194298,0.000000,
92.479556,92.743515,86.630432,80.883746,75.634539,70.998615,67.074266,63.941245,61.660652,60.275392,0.000000,
92.690407,92.946280,87.000396,81.408768,76.298869,71.783739,67.959752,64.905463,62.681338,61.330011,0.000000,
92.894799,93.142907,87.359547,81.918871,76.944845,72.547780,68.822097,65.845086,63.676483,62.358562,0.000000,
93.092989,93.333632,87.708262,82.414533,77.573000,73.291284,69.661833,66.760611,64.646546,63.361479,0.000000,
93.285217,93.518678,88.046901,82.896209,78.183848,74.014786,70.479486,67.652539,65.592000,64.339209,0.000000,
93.471708,93.698253,88.375802,83.364338,78.777888,74.718810,71.275579,68.521375,66.513326,65.292217,0.000000,
93.652674,93.872555,88.695290,83.819338,79.355599,75.403865,72.050626,69.367624,67.411013,66.220977,0.000000,
93.828318,94.041771,89.005673,84.261612,79.917448,76.070452,72.805140,70.191792,68.285554,67.125972,0.000000,
93.998827,94.206077,89.307245,84.691546,80.463883,76.719058,73.539621,70.994380,69.137445,68.007691,0.000000,
94.164382,94.365642,89.600288,85.109510,80.995342,77.350158,74.254565,71.775890,69.967184,68.866626,0.000000,
94.325152,94.520625,89.885071,85.515864,81.512246,77.964217,74.950459,72.536816,70.775265,69.703270,0.000000,
94.481299,94.671178,90.161851,85.910950,82.015004,78.561687,75.627781,73.277649,71.562184,70.518119,0.000000,
94.632978,94.817445,90.430876,86.295101,82.504013,79.143011,76.287001,73.998874,72.328431,71.311664,0.000000,
94.780333,94.959564,90.692381,86.668636,82.979657,79.708618,76.928579,74.700968,73.074492,72.084395,0.000000,
94.923506,95.097668,90.946596,87.031864,83.442308,80.258929,77.552967,75.384401,73.800850,72.836799,0.000000,
95.062630,95.231882,91.193738,87.385084,83.892329,80.794352,78.160607,76.049639,74.507978,73.569358,0.000000,
95.197832,95.362328,91.434019,87.728582,84.330070,81.315287,78.751932,76.697135,75.196347,74.282546,0.000000,
95.329235,95.489122,91.667641,88.062637,84.755872,81.822121,79.327365,77.327337,75.866418,74.976834,0.000000,
95.456956,95.612374,91.894801,88.387519,85.170064,82.315233,79.887321,77.940684,76.518646,75.652686,0.000000,
95.581107,95.732192,92.115686,88.703489,85.572967,82.794992,80.432204,78.537607,77.153478,76.310557,0.000000,
95.701797,95.848679,92.330479,89.010797,85.964894,83.261757,80.962409,79.118526,77.771353,76.950897,0.000000,
95.819130,95.961934,92.539356,89.309690,86.346146,83.715877,81.478323,79.683855,78.372701,77.574144,0.000000,
95.933205,96.072051,92.742486,89.600402,86.717017,84.157693,81.980323,80.233997,78.957944,78.180733,0.000000,
96.044119,96.179124,92.940035,89.883165,87.077792,84.587536,82.468777,80.769348,79.527495,78.771087,0.000000,
96.151964,96.283241,93.132161,90.158199,87.428749,85.005730,82.944043,81.290293,80.081761,79.345621,0.000000,
96.256832,96.384488,93.319017,90.425720,87.770157,85.412589,83.406472,81.797210,80.621136,79.904744,0.000000,
96.358806,96.482946,93.500754,90.685938,88.102278,85.808418,83.856406,82.290467,81.146008,80.448853,0.000000,
96.457972,96.578697,93.677514,90.939055,88.425365,86.193515,84.294178,82.770426,81.656755,80.978338,0.000000,
96.554411,96.671818,93.849438,91.185269,88.739667,86.568171,84.720112,83.237435,82.153749,81.493581,0.000000,
96.648199,96.762383,94.016662,91.424770,89.045423,86.932667,85.134524,83.691840,82.637350,81.994953,0.000000,
96.739412,96.850465,94.179316,91.657743,89.342867,87.287279,85.537724,84.133973,83.107911,82.482820,0.000000,
